cust_id,lookalikes
C0001,"[('C0148', 0.9945), ('C0039', 0.9814), ('C0184', 0.7231)]"
C0002,"[('C0092', 0.992), ('C0022', 0.9825), ('C0107', 0.6974)]"
C0003,"[('C0076', 0.995), ('C0152', 0.9946), ('C0158', 0.9778)]"
C0004,"[('C0082', 0.9873), ('C0165', 0.7492), ('C0087', 0.7444)]"
C0005,"[('C0186', 0.9994), ('C0140', 0.9985), ('C0007', 0.9976)]"
C0006,"[('C0011', 0.9972), ('C0137', 0.9962), ('C0187', 0.9955)]"
C0007,"[('C0186', 0.9986), ('C0005', 0.9976), ('C0140', 0.9957)]"
C0008,"[('C0156', 0.7651), ('C0065', 0.76), ('C0059', 0.7461)]"
C0009,"[('C0061', 0.9979), ('C0010', 0.9824), ('C0141', 0.8656)]"
C0010,"[('C0061', 0.9846), ('C0009', 0.9824), ('C0141', 0.8734)]"
C0011,"[('C0137', 0.9992), ('C0191', 0.9987), ('C0006', 0.9972)]"
C0012,"[('C0104', 0.9905), ('C0152', 0.9854), ('C0076', 0.9827)]"
C0013,"[('C0141', 0.763), ('C0188', 0.7576), ('C0104', 0.7571)]"
C0014,"[('C0198', 0.6742), ('C0166', 0.6627), ('C0089', 0.6627)]"
C0015,"[('C0185', 0.9922), ('C0050', 0.7163), ('C0131', 0.7076)]"
C0016,"[('C0183', 0.9951), ('C0067', 0.9919), ('C0042', 0.9918)]"
C0017,"[('C0081', 0.9936), ('C0064', 0.9845), ('C0023', 0.9771)]"
C0018,"[('C0117', 0.9943), ('C0024', 0.9901), ('C0156', 0.9561)]"
C0019,"[('C0041', 0.9808), ('C0044', 0.9642), ('C0024', 0.7193)]"
C0020,"[('C0026', 0.9779), ('C0050', 0.7013), ('C0115', 0.697)]"
